model,feature_matrix,accuracy,precision,recall,f1_score
KNN,word_1_100,0.84,0.9,0.84375,0.87096774
KNN,word_2_100,0.78,0.76923077,0.9375,0.84507042
KNN,word_3_100,0.48,0.65,0.40625,0.5
KNN,word_1_500,0.92,0.9375,0.9375,0.9375
KNN,word_2_500,0.66,0.65306122,1.0,0.79012345
KNN,word_3_500,0.66,0.65957447,0.96875,0.78481013
KNN,word_1_1000,0.96,1.0,0.9375,0.96774194
KNN,word_2_1000,0.86,0.93103448,0.84375,0.8852459
KNN,word_3_1000,0.76,0.77777778,0.875,0.82352941
KNN,word_1_2000,0.9,0.93548387,0.90625,0.92063492
KNN,word_2_2000,0.88,0.96428571,0.84375,0.9
KNN,word_3_2000,0.76,0.77777778,0.875,0.82352941
KNN,word_1_3000,0.9,0.93548387,0.90625,0.92063492
KNN,word_2_3000,0.88,0.96428571,0.84375,0.9
KNN,word_3_3000,0.76,0.77777778,0.875,0.82352941
KNN,word_1_4000,0.9,0.93548387,0.90625,0.92063492
KNN,word_2_4000,0.88,0.96428571,0.84375,0.9
KNN,word_3_4000,0.76,0.77777778,0.875,0.82352941
KNN,word_1_5000,0.9,0.93548387,0.90625,0.92063492
KNN,word_2_5000,0.88,0.96428571,0.84375,0.9
KNN,word_3_5000,0.76,0.77777778,0.875,0.82352941
KNN,word_1_6000,0.9,0.93548387,0.90625,0.92063492
KNN,word_2_6000,0.88,0.96428571,0.84375,0.9
KNN,word_3_6000,0.76,0.77777778,0.875,0.82352941
KNN,word_1_7000,0.9,0.93548387,0.90625,0.92063492
KNN,word_2_7000,0.88,0.96428571,0.84375,0.9
KNN,word_3_7000,0.76,0.77777778,0.875,0.82352941
KNN,word_1_8000,0.9,0.93548387,0.90625,0.92063492
KNN,word_2_8000,0.88,0.96428571,0.84375,0.9
KNN,word_3_8000,0.76,0.77777778,0.875,0.82352941
KNN,word_1_9000,0.9,0.93548387,0.90625,0.92063492
KNN,word_2_9000,0.88,0.96428571,0.84375,0.9
KNN,word_3_9000,0.76,0.77777778,0.875,0.82352941
KNN,word_1_10000,0.9,0.93548387,0.90625,0.92063492
KNN,word_2_10000,0.88,0.96428571,0.84375,0.9
KNN,word_3_10000,0.76,0.77777778,0.875,0.82352941
Logistic Regression,word_1_100,0.9,0.96551724,0.875,0.91803279
Logistic Regression,word_2_100,0.86,0.90322581,0.875,0.88888889
Logistic Regression,word_3_100,0.92,0.88888889,1.0,0.94117647
Logistic Regression,word_1_500,0.94,1.0,0.90625,0.95081967
Logistic Regression,word_2_500,0.9,0.96551724,0.875,0.91803279
